Month,Ticker,ESG_Rating,ESG_Score
1,DCOM,B,2.5
1,DD,A,6
1,DDD,BB,3.6
1,DE,A,7
1,DEA,A,6.5
1,DECK,AA,8.5
1,DEI,A,6.8
1,DFS,BB,3.6
1,DG,B,2.8
1,DGX,AA,7.7
1,DHC,B,2.2
1,DHI,B,2.7
1,DHR,BB,3.6
1,DIN,A,7
1,DIOD,B,1.6
1,DIS,BBB,5
1,DISCA,BBB,4.3
1,DISH,CCC,1.4
1,DKS,BB,3.1
1,DLR,BB,4.1
1,DLTR,B,2.3
1,DLX,BBB,5.7
1,DNKN,A,6.5
1,DNOW,BB,3.5
1,DOC,B,2.7
1,DORM,BBB,4.8
1,DOV,BBB,4.5
1,DPZ,BBB,5.2
1,DRE,BBB,5.4
1,DRH,BBB,4.9
1,DRI,BBB,5.7
1,DRQ,BB,4
1,DTE,A,6.6
1,DUK,BBB,5.3
1,DVA,BBB,5.7
1,DVN,BBB,5.6
1,DXC,BBB,5.6
1,DXCM,BBB,5.2
1,DXPE,B,1.6
1,DY,BB,3.1
1,EA,A,6.8
1,EAT,BBB,4.3
1,EBAY,BBB,5.6
1,EBIX,B,1.5
1,EBS,B,2.4
1,ECHO,AA,8.2
1,ECL,AAA,10
1,ECOL,B,2.4
1,ECPG,BBB,5.6
1,ED,AA,7.2
1,EFX,BB,4.2
1,EGBN,B,2.5
1,EGHT,BBB,4.4
1,EGOV,B,1.8
1,EGP,B,1.6
1,EGRX,A,6
1,EHC,A,6.9
1,EHTH,BBB,4.4
1,EIG,B,2.5
1,EIX,BBB,5.1
1,EL,BBB,5.4
1,ELY,BBB,5.7
1,EME,AA,7.9
1,EMN,BB,3.9
1,EMR,BB,4.1
1,ENDP,BB,3.9
1,ENPH,BB,3.5
1,ENR,BBB,4.6
1,ENS,BBB,4.4
1,ENSG,BBB,5.7
1,ENTA,BB,3.6
1,ENVA,CCC,1.2
1,EOG,BB,4.1
1,EPAC,BBB,5.5
1,EPAY,BBB,4.7
1,EPC,BBB,4.6
1,EPR,B,2.2
1,EPRT,BBB,5.1
1,EQIX,AA,7.4
1,EQR,BBB,5.7
1,EQT,BBB,4.4
1,ES,AA,8.3
1,ESE,A,6.5
1,ESNT,B,2.1
1,ESS,BB,3.5
1,ETH,BBB,5.4
1,ETN,BBB,5.6
1,ETR,A,7
1,ETRN,BB,3.3
1,ETSY,BBB,5.6
1,EV,B,2.6
1,EVR,BB,3.2
1,EVRG,BB,3.2
1,EVTC,B,1.5
1,EW,AA,8.5
1,EWBC,BB,3.7
1,EXC,AA,8.1
1,EXEL,B,2
1,EXLS,BBB,4.7
1,EXP,B,2.5
1,EXPD,AAA,10
1,EXPE,BBB,5.1
1,EXPO,BBB,4.5
1,EXR,BB,3.5
1,EXTR,BBB,4.4
1,EZPW,B,2.4
1,F,B,1.9
1,FAF,A,6.5
1,FANG,B,2.8
1,FARO,BBB,5.7
1,FAST,A,6.8
1,FB,BBB,4.6
1,FBC,BB,3.7
1,FBHS,A,6.7
1,FBK,B,1.7
1,FBM,BBB,4.8
1,FBNC,B,2.5
1,FBP,B,2.5
1,FCF,BB,2.9
1,FCFS,BB,4
1,FCN,A,6.4
1,FCPT,BB,4.1
1,FCX,BB,3.4
1,FDP,BBB,4.3
1,FDS,AA,8
1,FDX,BB,4.1
1,FE,BBB,5.3
1,FELE,A,6.8
1,FF,B,2.1
1,FFBC,A,6.2
1,FFIN,BBB,5
1,FFIV,BBB,4.8
1,FHB,BB,4.2
1,FHI,BB,3.5
1,FHN,BB,4.2
1,FICO,A,6.5
1,FIS,BB,4.1
1,FISV,BBB,4.7
1,FITB,BB,3.7
1,FIVE,BBB,4.6
1,FIX,AA,7.7
1,FIZZ,CCC,0
1,FL,BBB,5.6
1,FLIR,A,7
1,FLO,BB,3.7
1,FLOW,BB,3.9
1,FLR,AA,7.2
1,FLS,A,7.1
1,FLT,B,2.4
1,FMBI,BB,2.9
1,FMC,BB,4
1,FN,A,6.5
1,FNB,BB,2.9
1,FOE,B,2.8
1,FORM,B,2.6
1,FORR,BB,4.2
1,FOXF,BB,3.9
1,FR,BB,3
1,FRC,BBB,4.6
1,FRT,BBB,4.3
1,FSLR,A,6.8
1,FSP,BBB,4.3
1,FSS,BBB,5.7
1,FTI,AA,7.3
1,FTNT,BBB,5.3
1,FTV,BBB,5.2
1,FUL,BBB,4.9
1,FULT,A,6.2
1,FWRD,B,2.7
1,GATX,BBB,5.5
1,GBCI,BBB,4.6
1,GBX,BB,4.1
1,GCO,BBB,5.6
1,GCP,B,1.9
1,GD,BB,4.1
1,GDOT,BB,3.6
1,GE,A,5.8
1,GEF,A,6.8
1,GEO,CCC,0
1,GES,BB,4.1
1,GFF,B,1.8
1,GGG,BBB,4.8
1,GHC,BBB,4.6
1,GIII,B,2.1
1,GILD,AA,8.56
1,GIS,AA,7.7
1,GKOS,BBB,4.8
1,GL,BB,3.9
1,GLT,B,1.8
1,GLUU,B,2.3
1,GLW,A,6.1
1,GM,CCC,0.3
1,GME,BBB,5.4
1,GMED,BBB,5.5
1,GMS,BBB,5.5
1,GNL,B,2.4
1,GNRC,BBB,5.6
1,GNTX,BB,3.9
